scroll_on_accounts_page
click_on_question
order_overview_check_completed_orders
click_on_new_invoice_account
click_on_crown
empty_subselect_ignore
select_binding
click_on_give_read_access
go_back_to_homepage
click_on_name
click_on_billed
click_on_equipment_change
click_on_give_access
click_on_paper_invoice
click_on_cancel
click_on_administrators
click_on_discount_consumption_inland
click_on_unknown
click_on_edit_field
click_on_self_owner
click_on_dealer_list
click_on_abroad
click_on_recommendations
select_no_binding
click_on_invoice_by_email
start_chat
click_on_select
scroll_on_fakturakontroll
click_on_agreements
click_on_homepage
click_on_user_details
click_on_lock
scroll_on_reports_page
select_on_no_reference
order_invoice_copy
click_on_order_overview
click_on_datacard
click_on_pointer
click_on_unpaid_invoices
click_on_navicon
click_on_cloud
search
click_on_mobil
click_on_refresh
click_on_save
click_on_no_data_incl
click_on_inbox
click_on_billing_information
click_on_copy
click_add_account
click_on_other
click_on_number_details
order_overview_check_change_sub
click_on_external
click_on_mbn_details
scroll_on_page_costs
click_on_send_order_status_to_email
click_on_user_type
load_other_page
click_on_guidelines
click_new_subscription_from_template
click_on_change_account
click_on_pause
click_on_plus
click_on_m2m
click_on_remove_access
click_on_advanced_reports
click_on_pages_details
click_on_get_report
scroll_on_simcards
click_on_change_account_reference
click_on_error_details
click_on_terminate
click_on_address
go_back_to_top
click_on_MBN_sub
click_on_enhet_details
click_on_ordercase
click_on_manage_subscriptions
see_agreements
explore_additional_services
click_on_change_sub
click_on_time_range
click_on_star
click_on_update
click_on_failed_to_retrieve_data
loading subscriptions
click_on_menu_accounts
account_reference
click_on_add_post_code
click_on_telenor
click_on_send_entry_code
click_on_active_users
click_on_bedrift_sub
click_on_change_user_on_sub
order_overview_check_single_orders
click_on_contact_us
change_language
click_on_APIs
click_on_accept_continue
click_on_use_existing
click_on_new_subscription
click_on_configure
GDPR_related_click
load_homepage
submit_order
click_on_find_person
click_on_sub_voice_data
click_on_mobile_sub
click_on_twin_sim
click_on_installed_in
click_on_remove
click_on_see_history
click_on_campaign_details
click_on_menu_locations
click_on_subscription_type
click_on_sim_number_details
click_on_sms
click_on_account
click_on_overall
click_on_dealers
order_overview_check_other_orders
click_on_no_access
click_on_personal_users
click_on_new_settings
order_overview_check_change_account
return_product
select_on_discounted_product
click_on_menu
click_on_activate
click_on_mobilnummer
warnings_product
click_on_active_cloud_services
click_on_choose_in_subscr_order
click_on_add
order_overview_check_port_ins
click_on_see_dismissed
click_on_fusion
click_on_subscription_detail
click_on_feedback
click_on_paid
click_whether_you_can_get_fiber
click_on_price
order_overview_check_cancelled_subs
click_on_data
click_on_agreement_detail
order_overview_check_locked_subs
click_on_other_change
send_sms_to_employees
click_on_map
click_on_filter
see_invoice
click_on_reference
click_on_campaigns
click_on_trash
click_on_speach
scroll_on_messages_page
click_on_mbnaktiv
activate_sim
interact_with_pop_up_window
click_on_stocking
click_on_fixed
click_on_new_report
click_on_check_out
click_on_change_invoice_ref
adding_additional_services
click_on_not_relevant
click_on_surf_datapakke
scroll_on_page_downloads
click_on_notifications
open_invoice_account
click_on_add_dealer
click_on_did_you_notice_new_login
click_on_arrow
click_on_order_new_cloud_service
click_new_subscription_from_scratch
scroll_on_homepage
click_on_expand
click_on_path
click_on_sim_card_details
activate_new
export_to_excel
click_on_terms_and_conditions
click_on_give_the_same_access
order_overview_check_orders_in_process
click_on_activated
interrupt_task
click_on_send
click_on_last_used
click_on_safety_products
click_on_menu_sim_cards
click_on_locations_of subscriptions
click_on_change
click_on_confirm
click_on_cloud_product
click_on_show_all
click_on_subscription
click_on_role_department
click_on_sim_card
click_on_user
click_on_find_PUK
click_on_locked
click_on_information
click_on_user_references
add_new_agreement
click_on_magic_link
click_log_out
click_on_verify_code
click_on_companies_with_product
click_next_in_subscr_order
click_on_menu_subscriptions
click_on_list
click_on_company
click_on_ownership
