_load_
"keypress <RETURN> on ""search"""
"keypress <RETURN> on ""Page: https://www.telenor.no/bedrift/minbedrift/beta/"""
"click on ""Abonnement ( 2 )"""
"click on ""Abonnement"""
"click on ""Bestill"""
"keypress <T> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""VENNESLA KOMMUNE"""
"click on ""arrow"""
"click on ""Aktiver nytt"""
"click on ""Aktiver"""
"click on ""Sist bruktUkjentInstallert iUkjent"""
"click on ""Si opp"""
"click on ""Ok"""
"click on ""Logg ut"""
"click on ""Avbryt"""
"scroll on ""Page: https://www.telenor.no/bedrift/minbedrift/beta/"""
"click on ""ubetalte fakturaer"""
"click on ""Nytt abonnement"""
"click on ""Opprett nytt abonnement fra grunnen av"""
"click on ""Mobilt BredbÃÂ¥ndMobilt BredbÃÂ¥nd"""
"click on ""Neste"""
"click on ""Velg"""
"click on ""Bestill nytt"""
"click on ""additional-services"""
"click on ""lock"""
"click on ""Bestill nÃÂ¥"""
"click on ""OK"""
"click on ""mbn"""
"click on ""DatapakkeSurf 35GBIngen bindingstid"""
"click on ""Aktiver SIM-kort"""
"click on ""SÃÂ¸k"""
"click on ""SIM-kort"""
"click on ""Fakturakontoer"""
"click on ""1 Abonnement"""
"click on ""Andre endringer"""
"click on ""Min Bedrift"""
"click on ""Ingen pÃÂ¥lÃÂ¸pte kostnader siden siste faktura funnet"""
"click on ""search"""
"click on ""917 21 234"""
"click on ""BOLKAN KRANSERVICE AS"""
"click on ""AbonnementBedrift+ XSIngen bindingstid"""
"click on ""Innstillinger"""
"click on ""BetonmasthÃÂ¦hre As"""
"click on ""3 Fakturakontoer"""
"click on ""Bestill fakturakopi"""
"click on ""Bestill kopi"""
"click on ""Avtaler"""
"click on ""Se oppsagte"""
"click on ""Abonnementstype"""
"click on ""ARCTIC SEA HARVEST MCALLISTER"""
"click on ""Fakturert"""
"click on ""ng-untouched ng-valid ng-dirty ng-valid-parse"""
"scroll on ""Page: https://www.telenor.no/bedrift/minbedrift/beta/#/"""
"click on ""list"""
"click on ""Arctic Harvest As"""
"click on ""Apple iPhone X"""
"click on ""DUE, THOMAS"""
"click on ""Ingen bindingstid"""
"click on ""Sist brukt"""
"click on ""Hoved-SIMAktivtSist brukt04.09.2018Installert iApple iPhone 7"""
"click on ""FÃÂ¥ tilgang til Min Bedrift"""
"click on ""Aksepter og fortsett"""
"click on ""Bekreft"""
"click on ""Se avtale"""
"click on ""mathias"""
"click on ""Selskaper"""
"click on ""DRESSER-RAND AS"""
"click on ""Legg til nytt avtaleprodukt"""
"click on ""sim"""
"click on ""Aktivt"""
"click on ""Hoved-SIM"""
"click on ""Fortsett"""
"keypress <h> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""Fakturakonto"""
"click on ""6573656"""
"click on ""15 Abonnement"""
"click on ""Fakturakonto -"""
"click on ""5506573656117"""
"click on ""Installert i"""
"click on ""speach"""
"scroll on ""Page: additionalServices?family=Mobilt%20Bedriftsnett"""
"click on ""Abonnement ( 1 )"""
"click on ""952 95 803"""
"click on ""Administratorer"""
"click on ""HÃÂRVEL, BIRGER"""
"click on ""Ny administrator"""
"click on ""Administrer abonnement"""
"click on ""Mobilt BredbÃÂ¥nd"""
"click on ""navicon"""
"click on ""Selskap"""
"click on ""fakturakonto"""
"click on ""abonnement"""
"click on ""account"""
"click on ""edit-thin"""
"click on ""VERDENS GANG AS"""
"click on ""40 Fakturakontoer"""
"click on ""trash"""
"click on ""Slett"""
"click on ""Nytt abonnement eller eierskifte"""
"click on ""Nytt oppsettOpprett nytt abonnement fra grunnen av"""
"click on ""Abonnement for tale og data"""
"scroll on """"POLEN""-LOUISE IRTELIUS Kontoreferanse mangler107716810 abonnementACCENTURE AS P710 JÃÂRGEN RAMSTAD K..."""
"keypress <BACKSPACE> on ""keyword"""
"click on ""8639454"""
"click on ""Selskap -"""
"click on ""question"""
"click on ""Bruk malBruk et eksisterende abonnement som mal"""
"click on ""3 Avtaleprodukter"""
"click on ""Prisavtale - NHO REISELIV"""
"click on ""7 Avtaleprodukter"""
"click on ""Mobilt Bedriftsnett avtale - ELVERUM SPISESTED OG CATERING AS"""
"click on ""1 Forhandler"""
"click on ""1 Selskap"""
"click on ""ELVERUM SPISESTED OG CATERING AS"""
"click on ""1 Fakturakonto"""
"click on ""63754255"""
"click on ""Endre kontoreferanse"""
"click on ""Hent rapport"""
"keypress <e> on ""simNumber"""
"keypress <g> on ""simNumber"""
"keypress <i> on ""simNumber"""
"click on ""Apple iPhone 6"""
"click on ""77 Avtaleprodukter"""
"click on ""991 55 389"""
"click on ""911 17 229"""
"touch on ""Bruker"""
"keypress <0> on ""postalCode"""
"click on ""Surf 1GB"""
"click on ""Vis historikk"""
"click on ""PATH"""
"click on ""close"""
"click on ""10 Enheter"""
"click on ""Apple iPhone 6S (A1688)"""
"click on ""JANSEN VAN VUUREN, GUNN BERIT"""
"click on ""900 72 112"""
"click on ""Bedrift Fri+ 60GB"""
"click on ""VilkÃÂ¥r og betingelser"""
"click on ""TVETEN, MATHIAS"""
"click on ""Endre referanser"""
"click on ""Bytt konto"""
"click on ""chat"""
"click on ""Send"""
"click on ""support"""
"click on ""2 Avtaleprodukter"""
"click on ""Ordreoversikt"""
"click on ""Utforsk nye tjenester"""
"keypress <i> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""HANDELAND, ESPEN"""
"click on ""FÃÂ¥ tilgang til Min Bedrift fra Telenor"""
"click on ""Send engangskode"""
"click on ""Bestill tilgang"""
"click on ""GÃÂ¥ tilbake til forsiden"""
"click on ""Se siste fakturaer"""
"click on ""Endre bruker av abonnement"""
"click on ""Mobilt Bedriftsnett"""
"keypress <SPACE> on ""search"""
"click on ""utland"""
"click on ""Bestilte rapporter"""
"click on ""Ingen rapporter tilgjengelig for nedlasting. Trykker her om du trenger en rapport"""
"click on ""Ny rapport"""
"click on ""Avanserte rapporter"""
"click on ""( 1 )"""
"keypress <RETURN> on ""TEXTAREA"""
"click on ""csm-cloud"""
"click on ""GÃÂ¥ tilbake"""
"click on ""Fakturanummer:"""
"keypress <A> on ""firstName"""
"click on ""Finn person"""
"click on ""Neste Lagre"""
"click on ""TEXTAREA"""
"click on ""Bruk et eksisterende abonnement som mal"""
"keypress <S> on ""TEXTAREA"""
"keypress <L> on ""TEXTAREA"""
"keypress <BACKSPACE> on ""TEXTAREA"""
"keypress <R> on ""TEXTAREA"""
"keypress <17> on ""TEXTAREA"""
"keypress <g> on ""TEXTAREA"""
"keypress <16> on ""TEXTAREA"""
"keypress <SPACE> on ""TEXTAREA"""
"keypress <K> on ""TEXTAREA"""
"click on ""80 Abonnement"""
"click on ""Meldinger fra Telenor"""
"click on ""5511432912004"""
"click on ""Vi hjelper deg!"""
"keypress <f> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""469 35 322"""
"click on ""Datapakke"""
"click on ""Totalt"""
"click on ""Surf 3GB"""
"click on ""Sjekk ut dette"""
"click on ""Noen av mobilabonnementene hos dere nÃÂ¥r snart maksimalt databruk eller de er abonnementer uten inklu..."""
"click on ""Ikke relevant"""
"click on ""Hvis du forlenger avtalen pÃÂ¥ din(e) abonnement(er) nÃÂ¥, fÃÂ¥r du 50 kr i avslag pÃÂ¥ mÃÂ¥nedsprisen per abo..."""
"click on ""Betalt0,-"""
"click on ""HEIMDAL-SKI"""
"click on ""469 65 588"""
"click on ""Abonnement ( 8 )"""
"click on ""580000705828"""
"keypress <E> on ""TEXTAREA"""
"keypress <A> on ""TEXTAREA"""
"keypress <N> on ""TEXTAREA"""
"scroll on ""TEXTAREA"""
"keypress <190> on ""TEXTAREA"""
"keypress <I> on ""TEXTAREA"""
"click on ""11027111"""
"scroll on ""HELSEKONTORET 67068822 abonnementHAREID KOMMUNE MUSIKK OG KULTURSKULE 77502431 abonnementHAREID KOMM..."""
"scroll on ""BYGGESAK OG BRANN 73054726 abonnementHAREID KOMMUNE KOMMUNALE BYGG 730547311 abonnementHAREID KOMMUN..."""
"scroll on ""MOBILT BEDRIFTSNETT 1024055544 abonnementHAREID KOMMUNE HAREID UNGDOMSSKULE 78313954 abonnementHAREI..."""
"keypress <SPACE> on ""ng-valid ng-valid-maxlength ng-dirty ng-valid-parse ng-touched"""
"keypress <BACKSPACE> on ""ng-valid ng-valid-maxlength ng-dirty ng-valid-parse ng-touched"""
"keypress <RETURN> on ""ng-valid ng-valid-maxlength ng-dirty ng-valid-parse ng-touched"""
"keypress <BACKSPACE> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""Kopier"""
"click on ""*"""
"scroll on ""Page: 42444228"""
"keypress <N> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"keypress <SPACE> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"keypress <V> on ""search"""
"click on ""476 01 636"""
"click on ""917 21 311"""
"click on ""Kontoreferanse mangler"""
"click on ""Lagre"""
"keypress <R> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""Bestill Si opp"""
"click on ""Ubetalte fakturaer"""
"click on ""04.10.2018"""
"click on ""Etne Kommune"""
"click on ""53653944"""
"click on ""Accounts"""
"click on ""subscriptions"""
"click on ""New report"""
"click on ""Retrieve report"""
"click on ""Account"""
"click on ""Ordered reports"""
"click on ""company"""
"click on ""958 38 181"""
"click on ""Sperr"""
"click on ""2 Abonnement"""
"keypress <D> on ""ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""Se faktura"""
"keypress <U> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""Legg til"""
"keypress <F5> on ""Page: https://www.telenor.no/bedrift/minbedrift/beta/"""
"scroll on ""Page: simcards?simType=MAINCARD"""
"keypress <F5> on ""Page: simcards?simType=MAINCARD"""
"click on ""Send SMS"""
"click on ""KYSTENS MATHUS AS"""
"click on ""Abonnement ( 9 )"""
"click on ""sms"""
"click on ""cloud"""
"click on ""Ferdig behandlet"""
"click on ""Betalt"""
"click on ""UtestÃÂ¥ende"""
"click on ""Hoved-SIM *"""
"click on ""DatapakkeIngen datapakke inkludert"""
"click on ""MobilAbonnement for tale og data"""
"click on ""MBN Aktiv Bruker39,-/mnd"""
"click on ""Innlasting feilet, vennligst oppdater browseren for ÃÂ¥ prÃÂ¸ve igjen..."""
"click on ""4194056"""
"click on ""suscripciÃÂ³n"""
"click on ""11497019"""
"click on ""Nueva suscripciÃÂ³n"""
"click on ""11482014"""
"scroll on ""Page: simcards?simType=DATACARD1"""
"click on ""Chemring Nobel As"""
"keypress <RETURN> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""Apple iPhone 7 Plus"""
"click on ""5012682"""
"click on ""Eksporter"""
"click on ""icon icon-excel"""
"keypress <a> on ""simNumber"""
"click on ""Fastnett Hovednr. (uten aksess) (62416910)"""
"click on ""stian"""
"click on ""KAVLI, STIAN"""
"click on ""Lokasjoner"""
"click on ""ELVERUM SPISESTED OG CATERING"""
"click on ""Forfall: 26.09.2018  Fakturanummer: 1102471505  abonnementer  Betalt0,- UtestÃÂ¥ende886,25"""
"click on ""Kontoer ( 5 )"""
"click on ""7 Abonnement"""
"click on ""Samsung SM-J100H"""
"keypress <I> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""580000320090"""
"click on ""Apple iPhone 7"""
"click on ""11332269"""
"click on ""11121758"""
"click on ""SYSCOM AS"""
"scroll on ""Page: additionalservice?from=~2F"""
"click on ""Bruk mal"""
