_load_
"click on ""Abonnement"""
"scroll on ""Page: https://www.telenor.no/bedrift/minbedrift/beta/"""
"click on ""edit-thin"""
"click on ""Fakturakonto -"""
"click on ""2 Fakturakontoer"""
"click on ""Nytt abonnement eller eierskifte"""
"click on ""Bruk malBruk et eksisterende abonnement som mal"""
"click on ""Fortsett"""
"click on ""arrow"""
"click on ""Bytt konto"""
"click on ""additional-services"""
"click on ""data"""
"click on ""search"""
"click on ""Abonnement ( 21 )"""
"click on ""Fakturert"""
"click on ""Des. - Jan."""
"click on ""chat"""
"scroll on ""Page: 36180845"""
"click on ""Innstillinger"""
"click on ""Legg til"""
"click on ""Aktiver nytt"""
"click on ""Aktiver"""
"keypress <SPACE> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""3 Abonnement"""
"click on ""905 11 759"""
"click on ""Installert i"""
"click on ""Tvilling-SIM"""
"click on ""SperretAktivt"""
"click on ""Sist brukt09.11.2017Installert iNokia 810"""
"click on ""Sony Mobile Communications Xperia Z5"""
"click on ""Sist brukt17.09.2018Installert iSony Mobile Communications Xperia Z5"""
"click on ""Sist brukt"""
"click on ""Nokia 810"""
"click on ""09.11.2017"""
"click on ""Sist brukt16.09.2018Installert iOption NV GTM378E"""
"click on ""Min Bedrift"""
"click on ""10201723"""
"click on ""Datakort 1 SperretAktivtKlarte ikke Ã¥ hente dataInformasjon om SIM-kort er utilgjengeligSist brukt16..."""
"keypress <RETURN> on ""search"""
"keypress <RETURN> on ""Page: https://www.telenor.no/bedrift/minbedrift/beta/"""
"click on ""89470000170321103111"""
"click on ""580007611611"""
"click on ""Abonnement ( 1 )"""
"click on ""580000033147"""
"click on ""3512"""
"click on ""Lagre"""
"click on ""VarslingerIngen ekstra varslingspunkt"""
"click on ""Ok"""
"click on ""1 Abonnement"""
"click on ""580000148465"""
"click on ""Lokasjoner"""
"click on ""Se avtale"""
"click on ""Avtaler"""
"click on ""SIM-kort"""
"keypress <RETURN> on ""TEXTAREA"""
"click on ""Send"""
"click on ""Bestill nytt"""
"click on ""Bestill"""
"click on ""abonnement"""
"click on ""Neste"""
"click on ""Hoved-SIM *"""
"click on ""Bestill nÃ¥"""
"click on ""OK"""
"keypress <E> on ""ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"keypress <S> on ""ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""Bruk et eksisterende abonnement som mal"""
"keypress <RETURN> on ""simNumber"""
"click on ""ubetalte fakturaer"""
"click on ""SKORVE ANLEGG AS"""
"click on ""Logg ut"""
"click on ""Aksepter og fortsett"""
"click on ""Bekreft"""
"click on ""Endre bruker av abonnement"""
"click on ""Vi hjelper deg!"""
"click on ""Lokasjon"""
"click on ""Fakturakontoer"""
"click on ""Ny rapport"""
"click on ""Finn PUK-kode"""
"click on ""SÃ¸k"""
"click on ""userType"""
"click on ""Finn person"""
"click on ""Hent rapport"""
"click on ""company"""
"click on ""Juli - Aug."""
"click on ""ng-untouched ng-valid ng-dirty ng-valid-parse"""
"click on ""Abonnementstype"""
"click on ""ng-valid ng-dirty ng-valid-parse ng-touched"""
"click on ""Nytt abonnement"""
"click on ""close"""
"click on ""Bestill Si opp"""
"click on ""Mobilt Bedriftsnett"""
"click on ""Abonnement ( 3 )"""
"click on ""Avbryt"""
"click on ""Hoved-SIMAktivtSist bruktUkjentInstallert iUkjent"""
"click on ""Sist brukt16.09.2018Installert iMundo Reader S.L. bq Aquaris E4.5 Ubuntu Edition"""
"click on ""Sist bruktUkjentInstallert iUkjent"""
"click on ""Hoved-SIM"""
"click on ""Fakturakonto - 2703075909 75 964Vis historikk Bytt konto Kopier Si opp Send SMSBrukerNavnWIDDING, OL..."""
"click on ""Administrer abonnement"""
"scroll on ""Page: mobile-app.html"""
"click on ""901 07 864"""
"click on ""navicon"""
"click on ""Vis historikk"""
