_load_
"click on ""Nytt abonnement eller eierskifte"""
"click on ""Bruk malBruk et eksisterende abonnement som mal"""
"click on ""Fortsett"""
"click on ""Neste"""
"click on ""Finn person"""
"click on ""Valider"""
"click on ""selfOwner"""
"click on ""Hoved-SIM *"""
"click on ""chat"""
"keypress <RETURN> on ""TEXTAREA"""
"keypress <E> on ""TEXTAREA"""
"keypress <R> on ""TEXTAREA"""
"keypress <SPACE> on ""TEXTAREA"""
"keypress <K> on ""TEXTAREA"""
"scroll on ""Page: https://www.telenor.no/bedrift/minbedrift/beta/"""
"click on ""Administratorer"""
"click on ""support"""
"click on ""question"""
"keypress <RETURN> on ""Page: https://www.telenor.no/bedrift/minbedrift/beta/"""
"keypress <RETURN> on ""search"""
"click on ""Abonnement ( 1 )"""
"click on ""Lagre"""
"click on ""Abonnement"""
"click on ""Logg ut"""
"click on ""list"""
"click on ""Nytt abonnement"""
"click on ""Nytt oppsettOpprett nytt abonnement fra grunnen av"""
"click on ""MobilAbonnement for tale og data"""
"click on ""Neste Lagre"""
"click on ""Velg"""
"click on ""Aktiver"""
"click on ""Bestill nÃ¥"""
"click on ""OK"""
"click on ""ubetalte fakturaer"""
"click on ""Fakturakonto"""
"click on ""abonnement"""
"click on ""10468296"""
"click on ""Ny rapport"""
"click on ""Hent rapport"""
"click on ""Totalt"""
"click on ""additional-services"""
"click on ""Se avtale"""
"click on ""3 Avtaleprodukter"""
"click on ""9412274"""
"click on ""Min Bedrift"""
"click on ""Fakturakontoer"""
"click on ""53593670"""
"click on ""53593653"""
"click on ""10264298"""
"click on ""Bestill kopi"""
"click on ""SUB AQUA TECH AS"""
"click on ""Aktiver SIM-kort"""
"click on ""SÃ¸k"""
"click on ""Bestill fakturakopi"""
"scroll on ""FASTNETTAKSESS AOG Kontoreferanse mangler63635922 abonnementALLIER AS PRIVAT KS Kontoreferanse mangl..."""
"scroll on ""AOG BYGG AS Kontoreferanse mangler952011611 abonnementAOG BYGG AS BAD.NO AS Kontoreferanse mangler10..."""
"click on ""external"""
"click on ""Aksepter og fortsett"""
"click on ""Bekreft"""
"click on ""Ny administrator"""
"click on ""Ok"""
"click on ""Avtaler"""
"click on ""sim"""
"keypress <40> on ""Page: https://www.telenor.no/bedrift/minbedrift/beta/#/"""
"click on ""PATH"""
"click on ""div-table-cell"""
"click on ""GRÃNDAHL, ANDRÃ"""
"click on ""922 92 484 Du har 2 kampanjer Vis historikk Bytt konto Kopier Si opp Send SMS"""
"click on ""Ingen bindingstid"""
"click on ""Bestill"""
"click on ""Bruk et eksisterende abonnement som mal"""
"scroll on ""Kontoreferanse mangler104176310 abonnementAVERÃY INDUSTRIPARK HOLDING AS  Kontoreferanse mangler1008..."""
"click on ""Se 2 avtaler"""
"click on ""Endre fakturareferanse"""
"click on ""Andre endringer"""
"keypress <T> on ""TEXTAREA"""
"keypress <S> on ""TEXTAREA"""
"keypress <I> on ""TEXTAREA"""
"click on ""Send"""
"click on ""5 Avtaleprodukter"""
"click on ""1 Fakturakonto"""
"click on ""MBN Aktiv Bruker"""
"click on ""Mobilt Bedriftsnett"""
"click on ""Search"""
"click on ""Save"""
"keypress <N> on ""TEXTAREA"""
"scroll on ""Page: order?tab=reports"""
"scroll on ""Du10:06Hei! Sitter og ser pÃ¥ tilgjengelige rapporter, og lurer pÃ¥ om det finnes en mer utvidet versj..."""
"click on ""search"""
"click on ""Aktivt"""
"click on ""SIM-kort"""
"click on ""MIDTTUN, OLAV"""
"click on ""Vis historikk"""
"click on ""close"""
"click on ""Hittil i september"""
"click on ""Aug. - Sep."""
"click on ""Created with Highcharts 4.2.7201720180 ,-250 ,-500 ,-750 ,-1000 ,-1250 ,-"""
"click on ""JOHS E ÃVSTHUS AS"""
"click on ""Fakturert"""
"click on ""Si opp"""
"click on ""918 73 146"""
"click on ""arrow"""
"click on ""Sperr"""
"scroll on ""Page: https://www.telenor.no/bedrift/minbedrift/beta/#/"""
"click on ""63 61 30 13"""
"click on ""Avbryt"""
"click on ""10687369"""
"click on ""Fakturakonto -"""
"click on ""1 Abonnement"""
"click on ""Ordreoversikt"""
"click on ""464 01 220"""
"keypress <R> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""ng-untouched ng-valid ng-dirty ng-valid-parse"""
"click on ""data"""
"click on ""Endre referanser"""
"click on ""ng-valid ng-dirty ng-valid-parse ng-touched"""
"keypress <SPACE> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""Endre bruker av abonnement"""
"click on ""pointer"""
"click on ""Subscriptions"""
"click on ""Bestill for 2 av 2 abonnement"""
"click on ""lock"""
"click on ""Innstillinger"""
"click on ""Betalt0,-"""
"click on ""Bedrift Total"""
"click on ""Opprett nytt abonnement fra grunnen av"""
"click on ""Abonnement for tale og data"""
"click on ""Mobilnummer *"""
"click on ""edit-thin"""
"click on ""E-post *"""
"click on ""Legg til Selskaper"""
"click on ""Legg til administrator"""
"click on ""Bestill nytt"""
"click on ""918 97 008"""
"click on ""WAN- og bredbÃ¥ndsbestillinger"""
"click on ""mbn"""
"click on ""Bestilte rapporter"""
"click on ""Selskap"""
"scroll on ""Page: 36180845"""
"click on ""Legg til"""
"click on ""Aktiver nytt"""
"click on ""11499863"""
"click on ""Oppdater"""
"click on ""Bestill Si opp"""
"click on ""10201723"""
"click on ""3 Abonnement"""
"click on ""905 11 759"""
"keypress <RETURN> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""company"""
"keypress <RETURN> on ""Page: companies"""
"keypress <e> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""userType"""
"click on ""utland"""
"click on ""SIM-cards"""
"click on ""Terminate"""
"click on ""2 tilgjengelige anbefalinger"""
"click on ""Verdens Raskeste Mobilnett"""
"click on ""Tvilling-SIMAktivtSist bruktUkjentInstallert iUkjent"""
"click on ""RIEBER, LAILA TRYTI"""
"click on ""Du har 1 kampanje"""
"click on ""RIEBER, DAG"""
"click on ""telenor"""
"click on ""54202667"""
"click on ""16 Avtaleprodukter"""
"click on ""Mobilt Bedriftsnett avtale - EDA ELEKTRO DATA AS"""
